Country/Region,Confirmed,Deaths,Recovered,PercDeath,Population
China,80921,3161,61644,3.906278963433472,1392730000.0
Italy,12462,827,1045,6.636173968865351,60431283.0
Iran,9000,354,2959,3.933333333333333,81800269.0
"Korea, South",7755,60,288,0.7736943907156673,51635256.0
US,2384,68,19,2.8523489932885906,327167434.0
France,2284,48,12,2.1015761821366024,66987244.0
Spain,2277,54,183,2.3715415019762847,46723749.0
Germany,1908,3,25,0.15723270440251572,82927922.0
Cruise Ship,696,7,325,1.0057471264367817,
Switzerland,652,4,4,0.6134969325153374,8516543.0
Japan,639,15,118,2.347417840375587,126529100.0
Norway,598,0,1,0.0,5314336.0
Netherlands,503,5,0,0.9940357852882704,17231017.0
Sweden,500,1,1,0.2,10183175.0
United Kingdom,459,8,19,1.7429193899782136,66488991.0
Denmark,444,0,1,0.0,5797446.0
Belgium,314,3,1,0.9554140127388535,11422068.0
Qatar,262,0,0,0.0,2781677.0
Austria,246,0,4,0.0,8847037.0
Bahrain,195,0,35,0.0,1569439.0
Singapore,178,0,96,0.0,5638676.0
Malaysia,149,0,26,0.0,31528585.0
Australia,128,3,21,2.34375,24992369.0
Israel,109,0,4,0.0,8883800.0
Canada,108,1,8,0.9259259259259259,37058856.0
Greece,99,1,0,1.0101010101010102,10727668.0
Czechia,91,0,0,0.0,
Iceland,85,0,1,0.0,353574.0
United Arab Emirates,74,0,17,0.0,9630959.0
Kuwait,72,0,2,0.0,4137309.0
Iraq,71,7,15,9.859154929577464,38433600.0
San Marino,62,2,0,3.225806451612903,33785.0
India,62,1,4,1.6129032258064515,1352617328.0
Lebanon,61,3,1,4.918032786885246,6848925.0
Egypt,60,1,27,1.6666666666666667,
Portugal,59,0,0,0.0,10281762.0
Thailand,59,1,34,1.694915254237288,69428524.0
Finland,59,0,1,0.0,5518050.0
Slovenia,57,0,0,0.0,2067372.0
Philippines,49,1,2,2.0408163265306123,106651922.0
Taiwan*,48,1,17,2.0833333333333335,
Romania,45,0,6,0.0,19473936.0
Ireland,43,1,0,2.3255813953488373,4853506.0
Vietnam,38,0,16,0.0,95540395.0
Brazil,38,0,0,0.0,209469333.0
Indonesia,34,1,2,2.9411764705882355,267663435.0
Poland,31,0,0,0.0,37978548.0
Georgia,24,0,0,0.0,3731000.0
Chile,23,0,0,0.0,18729160.0
Saudi Arabia,21,0,1,0.0,33699947.0
Russia,20,0,3,0.0,
Algeria,20,0,0,0.0,42228429.0
Pakistan,19,0,2,0.0,212215030.0
Croatia,19,0,0,0.0,4089400.0
Argentina,19,1,0,5.2631578947368425,44494502.0
Oman,18,0,9,0.0,4829483.0
Ecuador,17,0,0,0.0,17084357.0
Estonia,16,0,0,0.0,1320884.0
Costa Rica,13,0,0,0.0,4999441.0
South Africa,13,0,0,0.0,57779622.0
Hungary,13,0,0,0.0,9768785.0
Albania,12,1,0,8.333333333333334,2866376.0
Serbia,12,0,0,0.0,6982084.0
Brunei,11,0,0,0.0,
Peru,11,0,0,0.0,31989256.0
Azerbaijan,11,0,3,0.0,9942334.0
Latvia,10,0,1,0.0,1926542.0
Slovakia,10,0,0,0.0,
Belarus,9,0,3,0.0,9485386.0
Colombia,9,0,0,0.0,49648685.0
Maldives,8,0,0,0.0,515696.0
Panama,8,1,0,12.5,4176873.0
Mexico,8,0,4,0.0,126190788.0
Tunisia,7,0,0,0.0,11565204.0
North Macedonia,7,0,0,0.0,2082958.0
Afghanistan,7,0,0,0.0,37172386.0
Bosnia and Herzegovina,7,0,0,0.0,3323929.0
Bulgaria,7,1,0,14.285714285714286,7024216.0
Luxembourg,7,0,0,0.0,607728.0
Malta,6,0,0,0.0,483530.0
Cyprus,6,0,0,0.0,1189265.0
New Zealand,5,0,0,0.0,4885500.0
French Guiana,5,0,0,0.0,
Dominican Republic,5,0,0,0.0,10627165.0
Paraguay,5,0,0,0.0,6956071.0
Morocco,5,1,0,20.0,36029138.0
Senegal,4,0,1,0.0,15854360.0
Martinique,3,0,0,0.0,
Moldova,3,0,0,0.0,3545883.0
Lithuania,3,0,0,0.0,2789533.0
Bangladesh,3,0,0,0.0,161356039.0
Cambodia,3,0,1,0.0,16249798.0
Bolivia,2,0,0,0.0,11353142.0
Burkina Faso,2,0,0,0.0,19751535.0
Sri Lanka,2,0,1,0.0,21670000.0
Cameroon,2,0,0,0.0,25216237.0
Nigeria,2,0,0,0.0,195874740.0
Honduras,2,0,0,0.0,9587522.0
Mongolia,1,0,0,0.0,3170208.0
Togo,1,0,0,0.0,7889094.0
Andorra,1,0,0,0.0,77006.0
Armenia,1,0,0,0.0,2951776.0
Ukraine,1,0,0,0.0,44622516.0
Liechtenstein,1,0,0,0.0,37910.0
Turkey,1,0,0,0.0,82319724.0
Bhutan,1,0,0,0.0,754394.0
Reunion,1,0,0,0.0,
Cote d'Ivoire,1,0,0,0.0,25069229.0
Nepal,1,0,1,0.0,28087871.0
Jamaica,1,0,0,0.0,2934855.0
Holy See,1,0,0,0.0,
Monaco,1,0,0,0.0,38682.0
Congo (Kinshasa),1,0,0,0.0,
Jordan,1,0,0,0.0,9956011.0
